year,group,age,rate
1950,All persons,All ages,13.2
1960,All persons,All ages,12.5
1970,All persons,All ages,13.1
1980,All persons,All ages,12.2
1981,All persons,All ages,12.3
1982,All persons,All ages,12.5
1983,All persons,All ages,12.4
1984,All persons,All ages,12.6
1985,All persons,All ages,12.5
1986,All persons,All ages,13.0
1987,All persons,All ages,12.8
1988,All persons,All ages,12.5
1989,All persons,All ages,12.3
1990,All persons,All ages,12.5
1991,All persons,All ages,12.3
1992,All persons,All ages,12.0
1993,All persons,All ages,12.1
1994,All persons,All ages,11.9
1995,All persons,All ages,11.8
1996,All persons,All ages,11.5
1997,All persons,All ages,11.2
1998,All persons,All ages,11.1
1999,All persons,All ages,10.5
2000,All persons,All ages,10.4
2001,All persons,All ages,10.7
2002,All persons,All ages,10.9
2003,All persons,All ages,10.8
2004,All persons,All ages,11.0
2005,All persons,All ages,10.9
2006,All persons,All ages,11.0
2007,All persons,All ages,11.3
2008,All persons,All ages,11.6
2009,All persons,All ages,11.8
2010,All persons,All ages,12.1
2011,All persons,All ages,12.3
2012,All persons,All ages,12.6
2013,All persons,All ages,12.6
2014,All persons,All ages,13.0
2015,All persons,All ages,13.3
2016,All persons,All ages,13.5
2017,All persons,All ages,14.0
2018,All persons,All ages,14.2
1950,Male,All ages,21.2
1960,Male,All ages,20.0
1970,Male,All ages,19.8
1980,Male,All ages,19.9
1981,Male,All ages,19.8
1982,Male,All ages,20.4
1983,Male,All ages,20.4
1984,Male,All ages,20.9
1985,Male,All ages,21.1
1986,Male,All ages,21.9
1987,Male,All ages,21.7
1988,Male,All ages,21.2
1989,Male,All ages,21.0
1990,Male,All ages,21.5
1991,Male,All ages,21.2
1992,Male,All ages,20.5
1993,Male,All ages,20.7
1994,Male,All ages,20.5
1995,Male,All ages,20.3
1996,Male,All ages,19.8
1997,Male,All ages,19.1
1998,Male,All ages,18.9
1999,Male,All ages,17.8
2000,Male,All ages,17.7
2001,Male,All ages,18.2
2002,Male,All ages,18.5
2003,Male,All ages,18.1
